[server: n00dles | root: true | ports req: 0]: home,CSEC
[server: deltaone | root: true | ports req: 5]: aerocorp,univ-energy,solaris,zeus-med
[server: zb-def | root: true | ports req: 4]: solaris
[server: solaris | root: true | ports req: 5]: deltaone,zb-def
[server: zeus-med | root: true | ports req: 5]: deltaone
[server: deltaone | root: true | ports req: 5]: aerocorp,univ-energy,solaris,zeus-med
[server: unitalife | root: true | ports req: 4]: aerocorp
[server: aerocorp | root: true | ports req: 5]: lexo-corp,deltaone,unitalife
[server: snap-fitness | root: true | ports req: 4]: lexo-corp
[server: lexo-corp | root: true | ports req: 4]: zb-institute,galactic-cyber,aerocorp,snap-fitness
[server: millenium-fitness | root: true | ports req: 3]: zb-institute
[server: zb-institute | root: true | ports req: 5]: netlink,lexo-corp,millenium-fitness
[server: johnson-ortho | root: true | ports req: 2]: neo-net
[server: neo-net | root: true | ports req: 1]: nectar-net,netlink,johnson-ortho,avmnite-02h
[server: avmnite-02h | root: true | ports req: 2]: neo-net,syscore,I.I.I.I
[server: neo-net | root: true | ports req: 1]: nectar-net,netlink,johnson-ortho,avmnite-02h
[server: syscore | root: true | ports req: 4]: avmnite-02h
[server: avmnite-02h | root: true | ports req: 2]: neo-net,syscore,I.I.I.I
[server: I.I.I.I | root: true | ports req: 3]: avmnite-02h
[server: avmnite-02h | root: true | ports req: 2]: neo-net,syscore,I.I.I.I
[server: omega-net | root: true | ports req: 2]: nectar-net
[server: nectar-net | root: true | ports req: 0]: sigma-cosmetics,neo-net,omega-net
[server: joesguns | root: true | ports req: 0]: home
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: hong-fang-tea | root: true | ports req: 0]: home,zer0
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: zer0 | root: true | ports req: 1]: hong-fang-tea,silver-helix
[server: hong-fang-tea | root: true | ports req: 0]: home,zer0
[server: silver-helix | root: true | ports req: 2]: zer0,the-hub,crush-fitness
[server: zer0 | root: true | ports req: 1]: hong-fang-tea,silver-helix
[server: the-hub | root: true | ports req: 2]: silver-helix
[server: silver-helix | root: true | ports req: 2]: zer0,the-hub,crush-fitness
[server: crush-fitness | root: true | ports req: 2]: silver-helix,rothman-uni
[server: silver-helix | root: true | ports req: 2]: zer0,the-hub,crush-fitness
[server: rothman-uni | root: true | ports req: 3]: crush-fitness
[server: crush-fitness | root: true | ports req: 2]: silver-helix,rothman-uni
[server: harakiri-sushi | root: true | ports req: 0]: home
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: iron-gym | root: true | ports req: 1]: home,max-hardware
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: max-hardware | root: true | ports req: 1]: iron-gym,phantasy
[server: iron-gym | root: true | ports req: 1]: home,max-hardware
[server: phantasy | root: true | ports req: 2]: max-hardware,computek
[server: max-hardware | root: true | ports req: 1]: iron-gym,phantasy
[server: computek | root: true | ports req: 3]: phantasy,summit-uni,catalyst
[server: phantasy | root: true | ports req: 2]: max-hardware,computek
[server: summit-uni | root: true | ports req: 3]: computek
[server: computek | root: true | ports req: 3]: phantasy,summit-uni,catalyst
[server: catalyst | root: true | ports req: 3]: computek,rho-construction,alpha-ent,aevum-police
[server: computek | root: true | ports req: 3]: phantasy,summit-uni,catalyst
[server: rho-construction | root: true | ports req: 3]: catalyst
[server: catalyst | root: true | ports req: 3]: computek,rho-construction,alpha-ent,aevum-police
[server: alpha-ent | root: true | ports req: 4]: catalyst
[server: catalyst | root: true | ports req: 3]: computek,rho-construction,alpha-ent,aevum-police
[server: aevum-police | root: true | ports req: 4]: catalyst,global-pharm
[server: catalyst | root: true | ports req: 3]: computek,rho-construction,alpha-ent,aevum-police
[server: global-pharm | root: true | ports req: 4]: aevum-police,omnia
[server: aevum-police | root: true | ports req: 4]: catalyst,global-pharm
[server: omnia | root: true | ports req: 5]: global-pharm,defcomm,icarus
[server: global-pharm | root: true | ports req: 4]: aevum-police,omnia
[server: defcomm | root: true | ports req: 5]: omnia,infocomm,taiyang-digital
[server: omnia | root: true | ports req: 5]: global-pharm,defcomm,icarus
[server: infocomm | root: true | ports req: 5]: defcomm,run4theh111z
[server: defcomm | root: true | ports req: 5]: omnia,infocomm,taiyang-digital
[server: run4theh111z | root: true | ports req: 4]: infocomm,fulcrumtech,stormtech
[server: infocomm | root: true | ports req: 5]: defcomm,run4theh111z
[server: fulcrumtech | root: true | ports req: 5]: run4theh111z
[server: run4theh111z | root: true | ports req: 4]: infocomm,fulcrumtech,stormtech
[server: stormtech | root: true | ports req: 5]: run4theh111z,omnitek
[server: run4theh111z | root: true | ports req: 4]: infocomm,fulcrumtech,stormtech
[server: omnitek | root: true | ports req: 5]: stormtech,blade,nwo,clarkinc
[server: stormtech | root: true | ports req: 5]: run4theh111z,omnitek
[server: blade | root: true | ports req: 5]: omnitek,ecorp,megacorp,fulcrumassets
[server: omnitek | root: true | ports req: 5]: stormtech,blade,nwo,clarkinc
[server: ecorp | root: true | ports req: 5]: blade
[server: blade | root: true | ports req: 5]: omnitek,ecorp,megacorp,fulcrumassets
[server: megacorp | root: true | ports req: 5]: blade
[server: blade | root: true | ports req: 5]: omnitek,ecorp,megacorp,fulcrumassets
[server: fulcrumassets | root: true | ports req: 5]: blade
[server: blade | root: true | ports req: 5]: omnitek,ecorp,megacorp,fulcrumassets
[server: nwo | root: true | ports req: 5]: omnitek
[server: omnitek | root: true | ports req: 5]: stormtech,blade,nwo,clarkinc
[server: clarkinc | root: true | ports req: 5]: omnitek
[server: omnitek | root: true | ports req: 5]: stormtech,blade,nwo,clarkinc
[server: taiyang-digital | root: true | ports req: 5]: defcomm,titan-labs,microdyne
[server: defcomm | root: true | ports req: 5]: omnia,infocomm,taiyang-digital
[server: titan-labs | root: true | ports req: 5]: taiyang-digital,helios
[server: taiyang-digital | root: true | ports req: 5]: defcomm,titan-labs,microdyne
[server: helios | root: true | ports req: 5]: titan-labs,.
[server: titan-labs | root: true | ports req: 5]: taiyang-digital,helios
[server: . | root: true | ports req: 4]: helios,powerhouse-fitness
[server: helios | root: true | ports req: 5]: titan-labs,.
[server: powerhouse-fitness | root: true | ports req: 5]: .
[server: . | root: true | ports req: 4]: helios,powerhouse-fitness
[server: microdyne | root: true | ports req: 5]: taiyang-digital,vitalife
[server: taiyang-digital | root: true | ports req: 5]: defcomm,titan-labs,microdyne
[server: vitalife | root: true | ports req: 5]: microdyne,4sigma,kuai-gong
[server: microdyne | root: true | ports req: 5]: taiyang-digital,vitalife
[server: 4sigma | root: true | ports req: 5]: vitalife,b-and-a
[server: vitalife | root: true | ports req: 5]: microdyne,4sigma,kuai-gong
[server: b-and-a | root: true | ports req: 5]: 4sigma,The-Cave
[server: 4sigma | root: true | ports req: 5]: vitalife,b-and-a
[server: The-Cave | root: true | ports req: 5]: b-and-a
[server: b-and-a | root: true | ports req: 5]: 4sigma,The-Cave
[server: kuai-gong | root: true | ports req: 5]: vitalife
[server: vitalife | root: true | ports req: 5]: microdyne,4sigma,kuai-gong
[server: icarus | root: true | ports req: 5]: omnia,nova-med
[server: omnia | root: true | ports req: 5]: global-pharm,defcomm,icarus
[server: nova-med | root: true | ports req: 4]: icarus,applied-energetics
[server: icarus | root: true | ports req: 5]: omnia,nova-med
[server: applied-energetics | root: true | ports req: 4]: nova-med
[server: nova-med | root: true | ports req: 4]: icarus,applied-energetics
[server: hacknet-server | root: true | ports req: 5]: home
[server: darkweb | root: true | ports req: 5]: home
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: Yc2ElB6ji9 | root: true | ports req: 5]: home
[server: remote-hack | root: true | ports req: 5]: home
[server: remote-hack-0 | root: true | ports req: 5]: home
[server: share-server | root: true | ports req: 5]: home
[server: hacknet-nodes | root: true | ports req: 5]: home
[server: joesguns-opp | root: true | ports req: 5]: home
